item_id	variable_definition
1376	I enjoy being able to shop by mail or phone when it's convenient for me.
1377	I would be annoyed if I could not receive mail offers or catalogs geared to my interests.
1378	It's not a problem to receive catalogs that don't interest me; I just throw them away.
1379	It annoys me that I receive so many unsolicited catalogs and mail offers that don't interest me.
1380	Computers have made it easier for me to get the information I need.
1381	Computers save me time in looking for information.
1382	Difficulties in accessing computer-based data gathered or held by other departments and agencies.
1383	If I choose  I can have my name removed from mailing lists.
1384	When I receive mail offers I don't want  I am aware of procedures that allow me to remove my name from these mailing lists.
1385	The computer produces large volumes of data which require considerable wading through to find the information I need.
1386	Information I need is on the computer  but it requires special programming to get it out.
1387	Difficulties in transferring computer-based data between microcomputers and larger computers.
1405	Receive coupons for previously purchased items. How do you view this use of personal information?
1406	Receive coupons for a competitive product. How do you view this use of personal information?
1407	Receive subscription offer for a magazine previously purchased. How do you view this use of personal information?
1408	Environmental group solicits people who buy natural foods and are profiled as  health-conscious . How do you view this use of personal information?
1409	Weight Watchers solicits people who buy low calorie foods and are profiled as  weight-conscious . How do you view this use of personal information?
1410	Employer mails letter warning of risks of alcohol to employees who buy beer or wine from the grocery store. How do you view this use of personal information?
1411	Dating service solicits people who buy  single serving  products. How do you view this use of personal information?
1412	Grocery store overlays database with purchasing power and estimated income data from credit card company. How do you view this use of personal information?
1413	Store categorizes customers based on credit card data and targets people based on income. How do you view this use of personal information?
1414	Grocery store overlays database with motor vehicle  direct mail response  and presence of credit card data from commercial database compiler. How do you view this use of personal information?
1415	Book club solicits people who shop by mail  drive a foreign car  and buy paperback books and gourmet foods. How do you view this use of personal information?
1416	How much do you rely on experts or technically trained individuals to interpret and summarize computer based information?
1437	Do departments and agencies within your local government establish written objectives for the programs and services they provide?
1438	Do city departments have measures of performance in meeting the objectives of city programs?
1439	Have city departments and agencies implemented cost accounting procedures to track or estimate the cost of major programs or activities?
1478	The proportion of departmental co-workers who use a PC.
1479	The senior management of this business unit has been helpful in introducing PCs.
1480	My boss is very supportive of PC use for my job.
1481	In general  the organization has supported the introduction of PCs.
1482	PCs make work more interesting.
1483	Working with a PC is fun.
1484	PCs are okay for some jobs but not the kind of job I want.
1485	Which of the following best describes the CEO’s role in the corporate IT steering committee: is the defacto steering committee- no steering committee exists.
1486	Does the CEO personally use information technology?
1487	How knowledgeable is the CEO about IT opportunities and possibilities for your firm?
1488	How knowledgeable is the CEO about IT innovations that have been developed by major competitors?
1491	Using a PC takes too much time from my normal duties.
1492	Working with PCs is so complicated  it is difficult to understand what is going on.
1493	Using a PC involves too much time doing mechanical operations (e.g.  data input)
1494	It takes too long to learn how to use a PC to make it worth the effort.
1495	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Spontaneous
1496	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Unimaginative
1497	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Flexible
1498	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Creative
1499	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Playful
1500	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Unoriginal
1501	For this adjective  please circle the number that best matches a description of yourself when you interact with microcomputers: Uninventive
1502	Use of a PC will have no effect on the performance of my job.
1503	Use of a PC can decrease the time needed for my important job responsibilities.
1504	Use of a PC can significantly increase the quality of output of my job.
1505	Use of a PC can increase the effectiveness of performing job tasks (e.g.  analysis)
1506	A PC can increase the quantity of output for same amount of effort.
1507	Considering all tasks  the general extent to which use of PC could assist on job.
1508	Use of a PC will increase the level of challenge on my job.
1509	Use of a PC will increase the opportunity for preferred future job assignments.
1510	Use of a PC will increase the amount of variety on my job.
1511	Use of a PC will increase the opportunity for more meaningful work.
1512	Use of a PC will increase the flexibility of changing jobs.
1513	Use of a PC will increase the opportunity to gain job security.
1514	Which of the following statements best describes the importance that your CEO perceives IT to be for your firm: Considers IT as the single most critical factor for the firm- has little concern for the potential utility of IT.
1515	Which of the following best describes the CEO’s prevailing thinking about funds the firm spends on IT: View IT as an expense to be controlled- views IT as a strategic investment.
1516	How often does your CEO indorse major IT investments that have not been endorsed by traditional justification criteria and procedures?
1517	What is the CEO’s vision for IT?
1518	Guidance is available to me in the selection of hardware and software.
1519	A specific person (or group) is available for assistance with software difficulties.
1520	Specialized instruction concerning the popular software is available to me.
1521	A specific person (or group) is available for assistance with hardware difficulties.
1525	If you are a highly effective performer in your current job  the likelihood (probability) that you will frequently work overtime to meet deadline is:
1526	If you are a highly effective performer in your current job  the likelihood (probability) that you will be admired by your peers and colleagues is:
1527	If you are a highly effective performer in your current job  the likelihood (probability) that you will be assigned challenging duties that increase your professional competence is:
1528	If you are a highly effective performer in your current job  the likelihood (probability) that you will get more economic rewards than in another job is:
1529	If you are a highly effective performer in your current job  the likelihood (probability) that you will have good future job security is:
1530	If you are a highly effective performer in your current job  the likelihood (probability) that you will be promised to a more influential job is:
1531	With these factors in mind  indicate the attractiveness to you of being a highly effective performer in your current job.
1532	If you exert a great effort  the likelihood (probability) that you will be a highly effective performer in this job is:
1533	With the information above in mind  how much effort do you make to be a highly effective performer in your current job?
1534	Interpersonal communication
1535	Interpersonal behavior
1536	Group Dynamics
1537	Project Management
1561	My job would be difficult to perform without electronic mail.
1562	Using electronic mail gives me greater control over my work.
1563	Using electronic mail improves my job performance.
1564	The electronic mail system addresses my job-related needs.
1565	Using electronic mail saves me time.
1566	Electronic mail enables me to accomplish tasks more quickly.
1567	Electronic mail supports critical aspects of my job.
1568	Using electronic mail allows me to accomplish more work than would otherwise be possible.
1569	Using electronic mail reduces the time I spend on unproductive activities.
1570	Using electronic mail enhances my effectiveness on the job.
1571	Using electronic mail improves the quality of the work I do.
1572	Using electronic mail increases my productivity.
1573	Using electronic mail makes it easier to do my job.
1574	Overall  I find the electronic mail system useful in my job.
1579	Using CHART-MASTER in my job would enable me to accomplish my tasks more quickly
1580	Using CHART-MASTER would improve my job performance
1581	Using CHART-MASTER in my job would increase my productivity
1582	Using CHART-MASTER would enhance my effectiveness on the job
1583	Using CHART-MASTER would make it easier to do my job
1584	I would find CHART-MASTER useful in my job
1587	I often become confused when I use the electronic mail system.
1588	I make errors frequently when using electronic mail.
1589	Interacting with the electronic mail system is often frustrating.
1590	I need to consult the user manual often when using electronic mail.
1591	Interacting with the electronic mail system requires a lot of my mental effort.
1592	I find it easy to get the electronic mail system to do what I want it to do.
1593	The electronic mail system often behaves in unexpected ways.
1594	I find it cumbersome to use the electronic mail system.
1595	My interaction with the electronic mail system is easy for me to understand.
1596	It is easy for me to remember how to perform tasks using the electronic mail.
1597	The electronic mail system provides helpful guidance in performing tasks.
1598	Overall  I find the electronic mail system easy to use.
1619	Learning to operate CHART-MASTER would be easy for me
1620	I would find it easy to get CHART- MASTER to do what I want it to
1621	My interaction with CHART-MASTER would be clear and understandable
1622	I would find CHART- MASTER to be flexible to interact with
1623	It would be easy for me to become skillful at using CHART-MASTER
1624	I would find CHART-MASTER easy to use
1650	System implementation was a success at my agency.
1651	All in all  I am satisfied with the way implementation was handled at my agency.
1652	Implementation was a stressful process.
1653	Too many demands were placed on staff like me during implementation.
1665	My manager did not agree with the implementation staff about how to implement the system
1666	My manager was unhappy about our agency going on the system
1667	My manager is satisfied with the computer system
1668	Does the system provide the precise information you need?
1669	Does the information content meet your needs?
1670	Does the system provide reports that seem to be just about exactly what you need?
1671	Does the system provide sufficient information?
1672	Is the system accurate?
1673	Are you satisfied with the accuracy of the system?
1683	Do you think the output is presented in a useful format?
1684	Is the information clear?
1685	Is the system user friendly?
1686	Is the system easy to use?
1687	Do you get the information you need in time?
1688	Does the system provide up-to-date information?
1728	I am required to submit an explanation in writing about causes of DP operations budget variances.
1729	I am required to report actions I take to correct causes of DP operations budget variances.
1730	Variations in the quantity of DP operations services used cause corresponding variations in my DP operations services.
1731	DP operations costs vary in proportion to my use of DP operations services.
1732	I evaluated thoroughly my DP operations needs when preparing my DP operations budget.
1733	I was involved in the preparation of my DP operations budget.
1734	I find it necessary to stop some DP operations activities in my unit when budgeted funds are used up.
1735	I keep a close look at variances in my DP operations budget.
1736	Development and maintenance of DP applications initiate the development of a new application.
1737	Development and maintenance of DP applications modify an existing application.
1738	Bills on DP operating costs are: meaningful- meaningless
1739	Bills on DP operating costs are: understandable- mysterious
1740	Bills on DP operating costs are: reliable- unreliable
1741	Bills on DP operating costs are: accurate- inaccurate
1752	Pursue your ideas.
1753	Build a professional reputation.
1754	Work with competent colleagues.
1755	Work on technically challenging tasks.
1756	Work on professionally important projects.
1757	Have freedom to be creative and original.
1758	Be highly respected by your peers.
1759	Work on organizationally important projects.
1760	Work on projects leading to advancement.
1761	Be highly respected by top management.
1762	Receive substantial annual salary increases.
1763	Have a great deal of power and influence on the job.
1764	Receive a promotion with the next year or two.
1765	It usually bothers me when companies ask me for personal information.
1766	When companies ask me for personal information  I sometime think twice before providing it.
1767	It bothers me to give personal information to so many companies.
1768	I'm concerned that companies are collecting too much personal information about me.
1773	Companies should not use personal information for any purpose unless it has been authorized by the individuals who provided the information.
1774	When people give personal information to a company for some reason  the company should never use the information for any other reason.
1775	Companies should never sell the personal information in their computer databases to other companies.
1776	Companies should never share personal information with other companies unless it has been authorized by the individuals who provided the information.
1777	Relationship with EDP staff.
1778	Processing of requests for system changes.
1779	Timeliness of output.
1780	User's understanding of system.
1781	User's participation.
1782	Currency of output.
1783	Attitude of EDP staff.
1784	Reliability of output.
1785	Convenience of access.
1786	Relevancy of output.
1787	Accuracy of output.
1788	Precision of output.
1789	Communication with EDP staff.
1790	Time required for systems development.
1791	Companies should devote more time and effort to preventing unauthorized access to personal information.
1792	Computer databases that contain personal information should be protected from unauthorized access-no matter how much it costs.
1793	Companies should take more steps to make sure that unauthorized people cannot access personal information in their computers.
1794	All the personal information in computer databases should be double-checked for accuracy-no matter how much this costs.
1795	Companies should take more steps to make sure that the personal information in their files is accurate.
1796	Companies should have better procedures to correct errors in personal information.
1797	Companies should devote more time and effort to verifying the accuracy of the personal information in their databases.
1798	How likely are you  within the next three years to: decide not to apply for something  like a job  credit  or insurance  because you do not want to provide certain kinds of information about yourself.
1799	How likely are you  within the next three years to: refuse to give information to a business or company because you think it is too personal.
1800	How likely are you  within the next three years to: take action to have your name removed from direct mail lists for catalogs  product  or services.
1801	How likely are you  within the next three years to: write or call a company to complain about the way it uses personal information.
1802	How likely are you  within the next three years to: write or call an elected official or consumer organization to complain about the way companies use personal information.
1803	How likely are you  within the next three years to: refuse to purchase a product because you disagree with the way a company uses personal information.
1804	How often have you personally been the victim of what you felt was an improper invasion of privacy?
1805	How much have you heard or read during the last year about the use and potential misuse of computerized information about consumers?
1836	How informed is your IS management team about business operations of each unit?
1837	How informed is your IS management team about business strategies of each unit?
1860	When you begin a task  how often do you know what external information will be required to complete the task?
1862	How often are you able to acquire the additional external information needed to complete a task?
1863	When you complete a task  how often are your conclusions based on adequate external information?
1864	How did job related requirements for external information change over the past six months?
1865	How much are job related requirements for external information expected to change over the next six months?
1866	Variety
1867	Autonomy
1868	Identity
1869	Significance
1870	Dealing with Others
1871	Job Specificity
1872	Client/Coworker Feedback
1873	To what extent are the problems you encounter new (that is  you have never encountered them before?
1882	Emphasizing Quantity of Output
1883	Emphasizing Quality of Output
1884	Correcting Poor Performance
1885	Setting Performance Expectations
1886	Setting Challenging Goals
1887	Amount of Work
1888	Time to Complete Work
1889	Quality of Work
1890	Meeting Assigned Deadlines
1891	Overall Contribution
1892	In some jobs  outcomes are unpredictable - if you do something to solve a problem you don't know what will happen. What percent of the time are you unsure that things will work out as expected?
1893	In the past 3 months  how often did difficult problems arise in your work for which there were no immediate or apparent methods for dealing with the problems?
1894	About how much time did you spend solving these work problems?
1895	How much the same are the day-to-day situations  problems  or issues you encounter in performing your major tasks (how much variability is there in your tasks or job)?
1896	How many of your tasks are the same from day to day?
1897	During a normal week  how frequently do exceptions arise in your work which require substantially different methods or procedures for doing them?
1898	To what extent do you have a one-person job?  That is  to get your work out  to what extent do you work independently of others to accomplish your assigned tasks?
1899	To what extent do  you meet with your colleagues to discuss how each task  case  or claim related to your work should be performed or treated?
1900	How many written rules and procedures exist for doing your major tasks?
1901	How precisely do these rules and procedures specify how your major tasks are to be done?
1902	To what extent did you follow standard operating procedures or practices to do your major tasks during the last 3 months?
1903	When considering the various situations that arise in performing your work  what percent of the time do you have written or unwritten procedures for dealing with them?
1905	How much influence do you have in determining what tasks to work on from day to day?
1906	How much influence do you have in determining how much work you have to complete?
1907	How much influence do you have in establishing rules and procedures about how your work is to be done?
1908	How much influence do you have in determining how work exceptions are to be handled?
4264	I like helping other people.
4265	It feels good to help others solve their problems.
4266	I enjoy helping others in the Message Boards.
4273	I know that other members will help me  so it's only fair to help other members.
4274	I trust that someone would help me if I were in a similar situation.
7486	Dissonant - Harmonious.
7487	Bad - Good.
7490	Cooperative - Belligerent.
7491	Negative - Positive.
7494	Sufficient - Insufficient.
7495	Adequate - Inadequate.
7498	Fast - Slow.
7499	Untimely - Timely.
7502	High - Low.
7503	Superior - Inferior.
7506	Useful - Useless.
7507	Relevant - Irrelevant.
7510	Inaccurate - Accurate.
7511	Low - High.
7514	Low - High.
7515	Definite - Uncertain.
7518	Unreasonable - Reasonable.
7519	Acceptable - Unacceptable.
7522	Complete - Incomplete.
7523	Low - High.
7526	Insufficient - Sufficient.
7527	Complete - Incomplete.
7530	Positive - Negative.
7531	Insufficient - Sufficient.
7535	Dissonant - Harmonious.
7536	Destructive - Productive.
17166	Using the system makes it easier to do my job.
21074	In general  how satisfied are you with the following: The personal computer that you work with
21075	In general  how satisfied are you with the following: The computing labs that you use
21076	In general  how satisfied are you with the following: The mainframes that you access
21077	In general  how satisfied are you with the following: The printers that you use
21078	In general  how satisfied are you with the following: The networks that you access
21079	In general  how satisfied are you with the following: The working relationship that you have with computer services
21080	In general  how satisfied are you with the following: The technical skills that computer services staff possess
21081	In general  how satisfied are you with the following: The attitude of computer services staff
21082	In general  how satisfied are you with the following: The responsiveness of computer services staff
21083	In general  how satisfied are you with the following: Your access to computer services staff
21084	In general  how satisfied are you with the following: The effectiveness of computer services staff
21085	In general  how satisfied are you with the following: Your participation in making decisions about computer resources
21086	In general  how satisfied are you with the following: Your degree of control over computer resources
21087	In general  how satisfied are you with the following: Training programs available to you to learn about computing
21088	In general  how satisfied are you with the following: Steps that the administration (including your department head  dean  and university administration) have taken to improve computing facilities
21089	In general  how satisfied are you with the following: Resources provided for computing activities
21107	In relation to other project design teams you have been a member of or observed  how does your design team rate on the number of innovations or new ideas introduced by the design team?
21108	In relation to other project design teams you have been a member of or observed  how does your design team rate on your ability to coordinate with one another?
21109	In relation to other project design teams you have been a member of or observed  how does your design team rate on your reputation for work excellence?
21110	In relation to other project design teams you have been a member of or observed  how does your design team rate on your ability to meet the goals of the project?
21111	How would you rate this design team on the number of innovations or new ideas introduced by the design team?
21112	How would you rate this design team on their reputation for work excellence during requirements definition?
21113	How would you rate this design team on the ability to communicate with one another during requirements definition?
21114	How would you rate this design team on their ability to meet the goals of the project during requirements definition?
21115	This team has done a good job in figuring out how work will flow among team members.
21116	Team members have developed effective plans and procedures to coordinate work.
21117	This team has taken sufficient effort to ensure that the project being developed meets the user’s needs.
21118	This team does a good job of trying to ensure that the product being developed meets company demands.
21119	Please indicate the extent to which you currently see it as your responsibility to engage in avoiding releasing information to others in the company to protect the team’s image and the product it is working on?
21120	Please indicate the extent to which you currently see it as your responsibility to engage in controlling the release of information from the team in an effort to present the profile you want to show?
21121	Please indicate the extent to which you currently see it as your responsibility to engage in keeping news about the team secret from others in the company until the appropriate time?
21122	Please indicate the extent to which you currently see it as your responsibility to engage in persuading others to support the team's decisions?
21123	Please indicate the extent to which you currently see it as your responsibility to engage in reviewing project design with others?
21124	Please indicate the extent to which you currently see it as your responsibility to engage in reporting the team's progress to a higher organizational level.
21125	Please indicate the extent to which you currently see it as your responsibility to engage in scanning the environment inside the organization for threats to the project team?
21126	The people on this team get on my nerves.
21127	There is a lot of unpleasantness among people on our team.
21128	Dealing with the members of this team often leaves me feeling irritated and frustrated.
21129	Often I am disappointed with the other members of this design team.
21130	Members of our design team have example expertise for doing the work.
21131	Some people in our design team do not have enough knowledge or skill to do their part of the team’s task well. reverse
21132	Behavior in our design team is very orderly—it is clear what members are expected to do  and they do it.
21133	Our design team has the right mix of people needed to do its work well.
21134	The project manager is clear and explicit about how he or she wants our design team to operate.
21135	The project manager keeps a watchful eye on how each project is progressing  and alerts the team when he or she notices things that could be done to improve the team performance.
21136	The project manager goes out of his or her way to consult with other team members and to seek their ideas and advice.
21137	The project manager’s behavior shows that he or she cares a great deal about our being a good design team.
21138	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: send messages to other users.
21139	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: access a database  dictionary  diagram  etc. at the same time as another user.
21140	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: automatically maintain a record of the changes made in a design.
21141	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: instruct the tools to freeze a portion of the design to protect it from changes.
21142	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: represent a design in terms of the business.
21143	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: construct data flow diagrams.
21144	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: detect data definition inconsistencies with a data dictionary.
21145	Please indicate the frequency with which you perform that activity using CASE tools during the course of a normal work week while working on the project: search the design for redundancies using an entity list.
21154	Does the writing of books count toward promotion and tenure/merit in your department? All books count.
21155	Does the writing of books count toward promotion and tenure/merit in your department? Books count only if they contain new research contributions.
21156	Does the writing of books count toward promotion and tenure/merit in your department? Books count only when an author has written multiple books in one or more areas and/or the books are established as among the top in the field(s).
21157	Does the writing of books count toward promotion and tenure/merit in your department? Books do not count at all.
21158	Does the writing of journal publications count toward promotion and tenure/merit in your department? All journal publications count.
21159	Does the writing of journal publications count toward promotion and tenure/merit in your department? All recognized IS related journal publications count.
21160	Does the writing of journal publications count toward promotion and tenure/merit in your department? Only certain categories of journal publications count (i.e. “refereed” and/or “editorial reviewed”).
21161	Does the writing of journal publications count toward promotion and tenure/merit in your department? Only certain categories of IS journal publications count (i.e. “refereed” and/or “editorial reviewed”).
21162	Does the writing of journal publications count toward promotion and tenure/merit in your department? Journal publications do not count at all.
21163	On average  how important is teaching for your tenure and promotion decisions?
21164	On average  how important is teaching for your merit decisions?
21165	On average  how important is service for your tenure and promotion decisions?
21166	On average  how important is service for your merit decisions?
21167	On average  how important is research for your tenure and promotion decisions?
21168	On average  how important is research for your merit decisions?
21335	We attempt to be exhaustive in gathering information relevant for IS planning.
21336	Before a decision is made  each possible course of action is thoroughly evaluated.
21337	We attempt to determine optimal courses of action from identified alternatives.
21338	There is little trial-and-error in our strategic decision process.
21339	We will delay decisions until we are sure that all alternatives have been evaluated.
21340	Policies and procedures greatly influence the process of SISP within our firm.
21341	We utilize formalized planning techniques.
21342	Our process for strategic planning is very structured.
21343	Written guidelines exist to structure strategic IS planning in our organization.
21344	The process and outputs of strategic IS planning are formally documented.
21384	The primary focus of IS planning is controlling cost through extensive budgeting.
21385	In our IS planning process we encourage creativity and idea generation over control.
21386	Our IS planning process is tightly integrated with the firm’s normal financial planning or capital budgeting routine.
21387	Strategic IS planning is viewed as a means of controlling the growth of technology.
21388	Control systems are used to monitor variances between planned actions and outcomes.
21408	Strategic planning for IS is initiated at the highest levels of the organization.
21409	The planning flow within our organization can be characterized as ¡°topdown¡±.
21410	Planning for IS is initiated by requests/proposals from operational/ functional managers.
21411	Those who formulate strategic IS plans are most responsible for their implementation.
21412	The primary role of upper management is to endorse rather than formulate IS plans.
21413	Top-management is actively involved in strategic IS planning.
21414	A variety of functional area managers participate in the process of IS planning.
21415	Our process for strategic IS planning includes numerous participants.
21416	Strategic IS planning is a relatively isolated organizational activity.
21417	The level of participation in SISP by diverse interests of the organization is high.
21418	We constantly evaluate and review conformance to strategic plans.
21419	We frequently adjust strategic plans to better adapt them to changing conditions.
21420	Strategic IS planning is a continuous process.
21421	We formally plan for information systems as the need arises.
21422	We frequently schedule face-to-face meetings to discuss strategic planning issues.
21423	Understanding the strategic priorities of top management.
21424	Aligning IS strategies with the strategic plan of the organization.
21425	Adapting the goals/objectives of IS to changing goals/objectives of the organization.
21426	Maintaining a mutual understanding with top management on the role of IS in supporting strategy.
21427	Identifying IT-related opportunities to support the strategic direction of the firm.
21428	Educating top management on the importance of IT.
21429	Adapting technology to strategic change.
21430	Assessing the strategic importance of emerging technologies.
21431	Understanding the information needs of organizational subunits.
21432	Identifying opportunities for internal improvement in business processes through IT.
21433	Improved understanding of how the organization actually operates.
21434	Development of a “blueprint” which structures organizational processes.
21435	Monitoring of internal business needs and the capability of IS to meet those needs.
21436	Maintaining an understanding of changing organizational processes and procedures.
21437	Generating new ideas to reengineer business processes through IT.
21438	Understanding the dispersion of data  applications  and other technologies throughout the firm.
21439	Avoiding the overlapping development of major systems.
21440	Achieving a general level of agreement regarding the risks/tradeoffs among system projects.
21441	Establishing a uniform basis for prioritizing projects.
21442	Maintaining open lines of communication with other departments.
21443	Coordinating the development efforts of various organizational subunits.
21444	Identifying and resolving potential sources of resistance to IS plans.
21445	Developing clear guidelines of managerial responsibility for plan implementation.
21484	How knowledgeable is the top management team about potential and limitations of current IT?
21485	How knowledgeable is the top management team about potential and limitations of “next generation” IT?
21486	How knowledgeable is the top management team about how your competitors are applying IT?
21514	Which of the following best describes the senior IS executive's involvement with the top management team?
21515	On average  what is the frequency of informal contact between members of your top management team and the senior IS executive?
21516	On average  what is the frequency of informal contact between you and other members of the top management team?
21519	All individuals deserve equal treatment before the law.
21520	Man’s capacity for justice makes democracy possible; but man’s inclination to injustice makes democracy necessary.
21521	To no man will we sell  or deny  or delay right or justice.
21522	All human beings are born free and equal in dignity and rights.
21531	Projects involving cost displacement or cost reduction.
21532	Projects whose primary benefit is providing new decision support information to top management.
21533	Projects whose primary benefit is providing new decision support information to middle and lower levels of management.
21534	Projects which enable development of new administrative control and planning process.
21535	Projects which offer significant tangible benefits through improved operational efficiencies.
21536	Projects involving applications of new technologies.
21537	Projects which appear to offer new ways for company to complete.
21538	Projects which will allow the company to develop and offer new products or services for sale.
21539	Projects involving development of new areas of application.
21540	Projects focusing on routine maintenance to meet evolving business needs  new regulatory or legal requirements.
21541	Projects focusing on existing systems enhancements.
21542	IS is used to offer significant new features to the existing product line.
21543	IS is not vital to our organization.
21544	IS is looked at as a competitive resource.
21545	IS breakdown for extended periods will affect organizational activities severely.
21546	Our company relies heavily on IS for efficient operation.
21547	IS breakdown will critically affect one or more of our functional departments.
21548	IS breakdown will affect our database access.
21549	IS breakdown will affect overall coordination within our organization.
21572	When I am uncertain how to act in social situations  I look to the behavior of others for clues
21573	My behavior is usually an expression of my true inner feelings  attitudes and beliefs
21574	At parties or other social gatherings  I do not attempt to do or say things that others will like
21575	In different situations and with different people  I often act like very different persons
21576	In order to get along and be liked  I tend to be what other people expect me to be rather than anything else
21577	I'm not always the person I appear to be
21578	I guess I put on a show to impress or entertain people
21579	Even if I'm not enjoying myself  I often pretend to be having a good time
21580	I may deceive people by being friendly when I really dislike them
21581	I would not change my opinions (or the way I do things) in order to please someone else or win their favor
21582	I feel a bit awkward in company and do not show up quite as well as I should
21712	The portal site is personalized in some way.
21713	In the next four weeks  how often will you visit this website?
21714	I intend to visit this website during the next four weeks within the following frequency.
21715	How do you feel about your overall experience of working on the programming task today?
21716	How do you feel about the quality of your programming solution?
21717	Imagine that we selected ten results at random from those who participated in this task. How would your performance rank among these ten results.
21721	I intend to use the system in the next <n> months.
21722	I predict I would use the system in the next <n> months.
21723	I plan to use the system in the next <n> months.
21724	The organization has provided the necessary resources for me to use the system.
21725	A specific help support person or group is available for assistance with system difficulties.
21726	Organizational technical and support infrastructure are available to help me in case of problems.
21742	The way X displays its products is attractive.
21743	X’s Internet site is aesthetically appealing.
21744	I like the way X’s Internet site looks.
21745	I think X’s Internet site is very exciting.
21746	The enthusiasm of X’s Internet site is catching; it picks me up.
21747	X doesn’t just sell products; it entertains me.
21748	Shopping from X’s internet site “gets me away from it all”.
21749	Shopping from X makes me feel like I am in another world.
21750	I get so involved when I shop from X that I forget everything else.
21751	I enjoy shopping from X’s Internet site for its own sake  not just for the items I may have purchased.
21752	I shop from X’s Internet site for the pure enjoyment of it.
21753	When I think of X  I think of excellence.
21754	I think of X as an expert in the merchandise it offers.
21755	Shopping from X is an efficient way to manage my time.
21756	Shopping from X’s Internet site makes my life easier.
21757	Shopping from X’s Internet site fits with my schedule.
21758	X products are a good economic value.
21759	Overall  I am happy with X’s prices.
21760	The prices of the product(s) I purchased from X’s Internet site are too high  given the quality of the merchandise.
21761	I like using this website.
21762	To me  this is the best retail website to do business with.
21763	I believe that this is my favorite retail website.
21764	I seldom consider switching to another website.
21765	As long as the present service continues  I doubt that I would switch to another website.
21766	I try to use this website whenever I need to make a purchase.
21767	Based on the prize wheel  how do you rate your chance of winning the 12 points?
21768	Based on the prize wheel  how do you rate your chance of winning the 34 points?
21769	The images used in the website are appropriate.
21770	The images used in the website are satisfying.
21771	The images used in the website are exciting.
21772	The images used in the website are interesting.
21773	The images used in the website make the products look appealing.
21774	There is a sense of human contact in the website.
21775	There is a sense of personalness in the website.
21776	There is a sense of sociability in the website.
21777	There is a sense of human warmth in the website.
21778	There is a sense of human sensitivity in the website.
21779	The task of selecting digital cameras using the virtual advisor took too much time.
21780	Selecting digital cameras using the virtual advisor required too much effort.
21781	Selecting digital cameras using the virtual advisor was too complex.
21782	Assuming I had access to the system  I intend to use the virtual advisor.
21783	Assuming I had access to the system  I predict that I would use the virtual advisor.
21784	Assuming I had access to the system  I plan to use the virtual advisor.
21785	The virtual advisor allowed me to specify my preferred approach to generate recommendations.
21786	I had limited control over the way this virtual advisor made recommendations.
21787	This virtual advisor constrained my choice of possible approaches it can use to generate recommendations.
21788	In terms of my preferred way of selecting a digit camera  the approach this visual advisor used to generate recommendations was rigid.
21789	In terms of my preferred way of selecting a digital camera  this virtual advisor's reasoning processes for generating recommendations were restricted.
21790	Considering the time and effort that I have to spend  the change to the new way of working with the NOP system is worthwhile .
21791	Considering the loss that I incur  the change to the new way of working with the NOP system is of good value.
21792	Considering the hassle that I have to experience  the change to the new way of working with the NOP system is beneficial to me.
21793	I will not comply with the change to the new way of working with the NOP system.
21794	I will not cooperate with the change to the new way of working with the NOP system.
21795	I oppose the change to the new way of working with the NOP system.
21796	I do not agree with the change to the new way of working with the NOP system.
21797	I have already put a lot of time and effort into mastering the current way of working.
21798	It would take a lot of time and effort to switch to the new way of working with the NOP system.
21799	Switching to the new way of working with the NOP system could result in unexpected hassles.
21800	I would lose a lot in my work if I were to switch to the new way of working with the NOP system.
21801	Changing to the new way of working with the NOP system would enhance my effectiveness on the job than working in the current way.
21802	Changing to the new way of working with the NOP system would enable me to accomplish relevant tasks more quickly than working in the current way.
21803	Changing to the new way of working with the NOP system would increase my productivity than working in the current way.
21804	Changing to the new way of working with the NOP system would improve the quality of the work I do than working in the current way.
21805	Based on my own knowledge  skills and abilities  changing to the new way of working with the NOP system would be easy for me.
21806	I am able to change to the new way of working with the NOP system without the help of others.
