variable_id	variable_definition
21709	Whether the participant was given an elimination aid  addictive-compensatory aid  or hybrid aid to help them decide which digital camera to buy.
21710	The overall evaluation of change related to a new information system implementation based on the comparison between benefits and costs.
21711	Opposition of a user to change associated with a new information system implementation.
21712	Disutility associated with switching to a new alternative.
21713	Utility associated with switching to a new alternative.
21714	The internal means of achieving control of the changed situation.
21715	The external means of achieving control  of the changed situation.
21716	Colleagues’ opinions toward the new information systems-related change.
21750	The quality of reporting from the project manager to the project executive  including dimensions of timeliness  accuracy  adequacy  completeness  and credibility.
21752	Whether a project produces high quality deliverables in an efficient manner.
21753	The extent to which the manager reports a project to be in a better situation than s/he truly believes.
21754	The extent to which the manager portrays a project to be in a worse shape that s/he perceives it to be.
21755	Executive's level of familiarity with the information systems (IS) development process.
21756	The quality of project-related information that is provided to the project manager by his/her executive.
21757	Project manager's behavioral reliance on the executive under a condition of risk.
21758	The perceived influence the executive has over the career of the project manager.
21759	The perceived ability of the report receiver to access organizational resources.
21760	Whether or not both the project executive and project manager are employed by the same organization.
21761	The percentage difference between actual project costs and budgeted project costs  used as an objective measure of project success.
21762	Client satisfaction with the final product.
21763	Differences in client-vendor work norms as related to process versus result orientation.
21764	Differences in client-vendor work norms as related to employee versus job orientation.
21765	Differences in client-vendor work norms as related to parochialism versus professionalism.
21766	Differences in client-vendor work norms as related to open versus closed system.
21767	Differences in client-vendor work norms as related to loose versus tight control.
21768	Differences in client-vendor work norms as related to normative versus pragmatic orientation.
21769	Absolute distance between the leader’s and client representative’s uncertainty avoidance scores.
21770	Absolute distance between the leader’s and client representative’s long-term orientation scores.
21771	Absolute distance between the leader’s and client representative’s power distance scores.
21772	Absolute distance between the leader’s and client representative’s individualism/collectivism scores.
21773	Absolute distance between the leader’s and client representative’s masculinity/femininity scores.
21774	Client trust in the vendor.
21775	Whether a project team had a client representative or not.
21776	Number of times the client visited the project site.
21777	The number of times the members of the project team visited the client site.
21778	Number of adjusted function points.
21779	Number of formal written changes to requirements that were made to the contract.
21780	Number of lines of code.
21781	The number of months taken to complete the project.
21782	How specific expectations such as time and quality for activities were given for service level agreements.
21783	Whether risk sharing for the vendor and client were just time-and materials  fixed price  or fixed price plus incentives and/or penalties for meeting or missing performance targets.
21784	Number of previous projects that the vendor had completed for the client firm.
21785	Project leader’s experience with managing offshore IS projects  how many projects a leader had previously managed.
21787	A  set of beliefs held by the targeted users of information systems associated with the eventual performance of IS and with their performance using the system
21788	The ratio of needs being fulfilled (benefits received) to the effort (inputs) required to fulfill work performance.
21789	The ratio of needs being fulfilled (benefits received) to the effort (inputs) required to fulfill self-development.
21790	The ratio of needs being fulfilled (benefits received) to the effort (inputs) required to fulfill relatedness.
21791	Affective and cognitive evaluation of the entire information systems user experience.
21792	Whether the information output from the information system is useful to the end user.
21793	Whether the system output from the information system is useful to the end user.
21794	Whether the system support service output from the information system is useful to the end user.
21798	Whether the consumer is in the requirements determination (determining exactly what he needs/wants to purchase)  vendor selection (gathering information to choose among vendors)  purchase (completing the purchase transaction)  or after-sales service stage (maintaining and upgrading the product).
21799	Individual’s evaluation of the behavior of interest.
21800	The extent to which performing the behavior enhances the effectiveness of personal related activity.
21802	The degree to which users perceive a particular system as enhancing their performance.
21804	The pleasure and inherent satisfaction derived from performing the behavior of interest.
21806	The perceived expectation from family  relatives  friends  and peers for an individual to perform the behavior of interest.
21807	An affective perception by individuals of their level of control over the environment and their actions.
21808	A customer’s perception of the efficiency of interaction with a seller.
21809	The perceived expectation from the government institutions for individuals to perform the behavior of interest.
21810	The intrinsic enjoyment of the interaction with the website.
21811	A user’s beliefs about the reliability  credibility  and accuracy of information gathered through the web.
21812	The belief in one’s capabilities to organize and to execute the course of action required to attain a goal.
21814	User perceptions of a channel’s ability to provide information and clear understandable explanations to educate the user on the product.
21815	Participant's intention to return to the web site.
21817	The degree to which an individual believes that performing the behavior of interest would be free of effort.
21820	Choice set size.
21821	Learning about auto insurance terms and definitions.
21822	Whether participants used a system where they can immediately see the product’s attributes(e.g.  color) and their values (e.g.  green) and they can construct their most preferred choice.
21823	The extent to which a respondent had confidence in information obtained through the web versus that obtained from an agent with respect to both the lowest price available for a policy as well as recommendations on suggested coverage  levels.
21824	The convenience of obtaining information on the lowest price for a policy or obtaining recommendations on suggested levels of coverage.
21825	The perceived convenience of transacting through each channel  and confidence in transacting through the channels.
21826	The availability of the technology to perform the behavior of interest.
21827	The perceived expectation from an individual’s key referents to perform the behavior of interest.
21828	An individual's perception of existence or nonexistence of required resources and opportunities to perform the behavior of interest.
21829	Consumer’s intent to use the web for information gathering (information about auto policy coverage options  auto insurance companies  prices  and recommended coverage levels).
21830	The intention to continue using the technology.
21831	Intended use of the web to purchase auto insurance and file claims.
21833	The proportion of adopters in an individual’s personal network.
21838	The extent to which their agent provides specific services and how important  each service is to them.
21840	Beliefs about competence  benevolence  and honesty of the agent (interpersonal trust).
21842	Web experience in purchasing.
21843	Perceived value of shopping on the web.
21844	Customer perceptions of the relative advantage of electronic channels.
21845	The extent to which a consumer plans  to use the web to interact with an insurance provider.
21846	Subject's attitude toward technology.
21849	Subject's intention to use the system.
21851	To what extent the customer met the obligation of achieving consensus on development roadmap by not being too forceful or dominant in pushing own agenda and also accepting a general roadmap (vision) of future functionality rather than seeking a precise requirements specification.
21852	To what extent the customer met the obligation of project ownership by providing senior management with commitment to the project  providing R&D resources to further develop the project  and helping to improve the quality of the software.
21853	To what extent the customer met the obligation of marketing project to increase visibility by providing professional expertise in relation to marketing and productizing the software  seeking to improve the reputation of the community of contributors  and providing a business opportunity for the community to use that product.
21854	To what extent the customer met the obligation of transparency and close project monitoring by being transparent in plans for the future of the project  being open to outside contributions  and using an appropriate license to safeguard community contributions.
21855	To what extent the customer met the obligation of creating a sustainable ecosystem by seeking to create trust in the relationship with the community  engaging in community-sustaining activities  behaving as a responsible member of the opensourcing ecosystem  and preserving continuity by keeping developers on projects for a longer period than the norm in proprietary software development.
21856	To what extent the community met the obligation of clear and democratic authority structure and process transparency by providing a transparent authority structure to allow customer to see the decision making process within the community and behaving as a professional team.
21857	To what extent the community met the obligation of responsible and innovative attitude by taking responsibility and delivering on what is committed to  being creative and innovative in suggesting new functionality and directions for the project  and helping to achieve a positive impact among customers.
21858	To what extent to community met the obligation of creating a sustainable ecosystem by offering high quality people who understand the project domain very well without requiring additional training and exhibiting loyalty and continued involvement in the project.
21859	To what extent the project was perceived as successful.
21861	The amount of previous contracts with the vendor in U.S. dollars.
21862	Whether the contract is managed on a fixed price or on a time and materials basis.
21863	Project development duration in days.
21864	The average of perceived complexity of the outsourced software module.
21865	Duration of the testing period in days.
21866	International vendors are those whose headquarters are abroad.
21867	Price in U.S. dollars of software development project.
21868	Number of external documents referenced.
21869	Vendor size in number of employees.
21871	Number of pages in the contract.
21872	Penalties that will come into effect and the client will be compensated should the vendor breach the contract.
21882	The depletion of one's emotional  mental  and physical resources.
21883	Employees' job satisfaction.
21885	A sense of uncertainty about what is expected  how to achieve expectations  or the consequences of job performance.
21887	An incompatibility between job expectations that may originate from one or more individuals with whom an employee interacts.
21888	The degree to which an employee has discretion over how to perform work responsibilities and should experience greater felt responsibility for the work.
21894	The negative conflicts between norms of emotional display and an employee's felt emotion.
21895	The positive conflicts between norms of emotional display and an employee's felt emotion.
21910	The degree to which a person has formulated conscious plans to perform or not perform some specified future behavior.
21911	The degree to which an individual believes that an organizational and technical infrastructure exists to support use of the system.
21922	How well participants understood the domain represented in the unified modeling  language class diagram.
21923	Time taken to provide a problem solution.
21924	Participants’ perceptions about the ease of use of the unified modeling  language class diagram they employed in their problem-solving tasks.
21925	The participant was given a unified modeling  language representation that had both composites and components in part–whole relations represented as entity classes in a unified modeling  language class diagram.
21926	The participant was given a unified modeling  language representation that had components represented as entity classes in a unified modeling  language class diagram.
21942	The number of clicks used to complete the survey.
21943	Users' perceptions of the usefulness of the new system.
21944	Users' perceptions of the usefulness of the new system.
21945	Users' perceptions of the ease of use of the new system.
21946	Users' perceptions of the ease of use of the new system.
21952	Degree to which an internet user is concerned about online companies’ practices related to the collection and use of his or her personal information
21953	Degree to which an internet user perceives as fair the benefits he or she receives from online companies in return for the release of personal information.
21954	Degree to which an internet user perceives that online companies give him or her procedures for control of information privacy and make him or her aware of the procedures.
21955	Degree to which an internet user perceives of online companies as honest and trustworthy in complying with their promises related to information privacy.
21956	Degree to which an internet user perceives that complaining about privacy invasions will benefit other internet users by preventing them from being similarly victimized.
21957	Extent to which the participant indicates they would refuse to give information to online companies because they think it is too personal within the next three years.
21958	The extent to which the participant indicates they would falsify some of their personal information if it was asked for by online companies within the next three years
21959	The extent to which the participant indicates they would take actions to have their information removed from online companies’ database when their personal information was not properly handled
21960	The extent to which the participant indicates that they would speak to their friends and/or relatives about their bad experience with online companies’ mishandling personal information when their personal information was not properly handled.
21961	The extent to which the participant indicates they would write or call online companies to complain about the way they use personal information when your personal information was not properly handled.
21962	The extent to which participants report they would write or call an elected official or consumer organization to complain about the way online companies use personal information when their personal information was not properly handled.
21963	An individual's self-reported subjective probability of his or her performing a specified behavior  based on his or her cognitive appraisal of volitional and non-volitional behavioral determinants.
21964	The amount of clock time spent using a system.
21965	Frequency of using a system.
21966	Intensity of using a system.
22002	The percentage of the firm's business processes that are using the system.
22003	The number of a firm's business functional areas automated by enterprise resource planning technology.
22004	The vertical impact of enterprise resource planning systems on their business activities  ranging from planning to decision making
22005	The extent to which top management considers that using the enterprise resource planning system can potentially benefit the organization.
22006	The extent to which top management actively participates in the management of the enterprise resource planning initiative.
22007	The perceived extent to which competitors have benefited from assimilating enterprise resource planning.
22008	The extent of formal and informal pressures perceived by virtue of the competitive conditions  and requirements and incentives from the local government and industry associations.
22009	The perceived extent to which members of the dyadic relational channels have adopted enterprise resource planning and the extent to which the government and industry agencies promote the use of information technology and especially enterprise resource planning systems.
22010	The readiness of the organization for assimilating enterprise resource planning systems.
22011	The perceived alignment between the IT innovation and the culture  values  and preferred work practices of the assimilating organization.
22012	The perception that one has too much to do.
22013	The degree to which the job provides substantial freedom  independence and discretion in scheduling the work and in determining the procedures to be used in carrying it out.
22014	A form of inter-role conflict in which the role pressures from the work and family domains are mutually incompatible in some respect.
22015	Perceived fairness of rewards.
22016	Salient frustration about job outcomes.
22017	The extent to which one is involved in  and identifies with  one's organization.
22019	Human relations and flexibility  belonging  trust  and participation.
22020	Growth  resource  acquisition  creativity  and adaptation.
22021	Security  order  and routinization.
22022	Productivity  efficiency  and goal achievement.
22023	Maximum intensity of systems development methodology use.
22024	Systems development methodology use across the organization.
22034	The amount of information needed to fully specify attributes.
22035	The extent to which the firm emphasizes developing long-term supplier relationships.
22036	Annual sales revenues (less than $1 million  $1-$10 million  $10-$100 million  $100 million-$1 billion  or greater than $1 billion).
22037	Respondent's ratings of the likelihood of reverse auction use for production goods.
22038	Manufacturing capability  warranty implications  and criticality in  terms of interaction with other components in an assembly.
22039	Supplier’s track record of continuous improvement in existing products  development of new products  and investment in keeping abreast with technological developments.
22040	Exchange of proprietary information between buyer and supplier for cost reduction and involvement in planning and goal setting activities.
22041	Supplier’s sensitivity and ability to respond quickly to buyer’s needs and to keep buyer updated on the requests.
22042	Buyer’s perception about supplier’s trustworthiness  confidence in supplier  and belief that supplier will honor its promises.
22043	Willingness of supplier to modify a contract  make necessary adjustments  and react to buyer’s requests that may be beyond the terms of a contract. Flexibility relates more to the strategic aspects of a relationship while responsiveness (see above) relates more to operational issues.
22044	Information system sophistication.
22045	The extent to which the firm emphasizes competing on cost or differentiation.
22046	The degree to which investment in a particular asset has lower value in its next-best use.
22064	Subjects' tendency to trust others.
22065	How many times the subject has encountered personal information misuse.
22066	How many times in the past year the subject has shopped using the internet.
22067	Subjects' concerns with their privacy over the Internet.
22068	Whether subjects knew what a cookie is  if their browser accepted cookies  and what their cookie preferences were set to.
22073	Subjects' familiarity with local privacy seals.
22074	Subject's tendency to lie.
22075	Subject's trust in the company in handling their private information.
22076	Subjects were given no assurance of privacy.
22077	Privacy was assured by only a privacy statement.
22078	Privacy was assured by both a privacy statement and a privacy seal.
22079	Subjects were informed that they would receive a check upon completing the main survey  it varied from 1 to 9 Singapore dollars.
22081	The number of mandatory items in the main survey.
22507	Manufacturer’s price for a new product on Amazon’s new market.
22508	Final list price at which the used-good transaction occurred.
22509	The seller’s self-reported condition of their product  from like new to acceptable.
22510	The seller’s average numeric reputation score on Amazon.
22511	The total number of lifetime ratings the seller has received.
22512	Number of competing offers at any given time for a product.
22513	Number of days it took for a product to be sold after being listed.
22514	Number of used goods of a given product sold by a seller per week.
22515	Brand unreliability rankings imputed from Consumer Reports.
22516	Position of the used-good offer on the screen.
22517	The proportion of positive ratings the seller has received.
22518	The proportion of negative ratings the seller has received.
22519	Whether the feedback provided for the seller had comments about the seller service quality.
22520	Whether the feedback provided for the seller had comments about the product condition.
22521	Whether the product had a condition equal to five or above.
22522	Whether the seller had an average numeric reputation less than four.
22523	Ratio of difference between the new good price and the used good price (sold price) to the new good price.
22524	The current demand for the given product  taken from Google trends.
22584	The behavioral  cognitive belief.
22591	The normative  external pressure.
22816	Tight quality control  ensuring products for high price markets  marketing products for high price markets  warranties and guarantees  and production of luxury products.
22817	Strategic procurement of supplies  process innovations  just-in-time manufacturing  efficient inventory management  honing operating efficiency  and reducing production/operating costs.
22818	New product development  ongoing development of existing products  having a broad selection of products  excellent customer service  prompt delivery  catering to market niches  amassing special data on clients  customizing products for users  competitive pricing  advertising  promotion brand identification  and attractive design or packaging.
23439	The extent to which consumers actually understand product information.
23440	Consumers' perceptions of the extent to which a particular website is helpful for them to understand products in online shopping.
23441	The extent to which a particular website is expected to help online consumers to accomplish their shopping goals.
23442	Consumers' intentions to revisit the website.
23443	Whether the participant viewed a static-picture format  which presents product information on a website through static images combined with relevant explanatory  text or hypertext descriptions.
23444	Whether the participant viewed a video without narration format  which presents product information on a website by continuous video demonstrations  including dynamic visual stimuli such as the change of product images and corresponding product sound effects  such as a watch’s alarm and uses text descriptions to explain product features.
23445	Whether the participant viewed a video with narration format  which presents product information on a website by continuous video demonstrations  including dynamic visual stimuli such as the change of product images and corresponding product sound effects  such as a watch’s alarm and detailed text explanations are narrated aloud in connection with the video.
23446	Whether the participant viewed a virtual product experience  which presents product information by allowing consumers to interact with a  product simulator and sample product features as they can do  in a direct product experience.
23541	Degree of perceived novelty of each concept: abstraction  attribute  class  encapsulation  inheritance  message passing  method  object  and polymorphism.
23542	Subject's object-oriented knowledge.
23543	Level of perceived learning difficulty for each concept  abstraction  attribute  class  encapsulation  inheritance  message passing  method  object  and polymorphism.
23544	Subjects' years of object-oriented experience.
23572	General anxiety about the implications involved in using computers.
23573	A person’s belief in his or her capacity  to perform.
23575	The tendency to be sympathetic  good-natured  cooperative  and forgiving and to help others and expect help in return.
23576	Represents the tendency to be self-disciplined  strong-willed  deliberate  and reliable and to actively plan  organize  and carry out  tasks.
23577	Sociability  cheerfulness  and optimism and the tendency to seek out new opportunities and excitement.
23578	Stock price in each period.
23579	All e-mail messages sent through the provided mailing lists and other e-mail messages that were sent directly to teammates via a special account.
23580	A lack of psychological adjustment and emotional stability and tendency to be fearful  sad  embarrassed  distrustful  and have difficulty managing stress.
23581	Curiosity and willingness to explore new ideas and tendency to devise novel ideas  hold unconventional values  and willingly question authority.
23582	The extent to which team members know who on the team knows what.
23583	The team’s ability to develop overlapping mental representations of how the task can be divided and the relationships between subtasks and  team members.
23584	Team members’ beliefs about one another's ability and reliability to carry out the task.
23589	How often respondents surfed the Internet  visited chatrooms  visited bulletin boards  and looked up specific information; how comfortable they were looking up information  visiting chat rooms  and surfing the Internet.
23593	Various aspects of leadership skills  including team building  goal emphasis  supervisory support  communication skills  and vision.
23594	The extent to which the decision maker feels that he or she has reached a good decision outcome or made a good judgment.
23595	The extent to which an individual makes use of the various applications offered under the umbrella of a single information systems system.
23602	The extent to which people  tend to perform behaviors (use IS) automatically because of learning.
23612	The use of common managerial processes that are likely to enhance  coordination of information technology strategies across business units.
23613	The use of common strategic goals and vendor management processes that are likely to enhance coordination of information technology vendor relations and increase the firm’s negotiation power against information technology vendors.
23614	The use of common information technology-human resources processes that are likely to enable a firm to exploit its information technology skills and know-how across multiple business units.
23615	The use of common hardware  software  and communications technologies across business units.
23622	Ratio of the market value of a firm to the replacement cost of its assets.
23623	Whether a multibusiness firm uses a centralized  decentralized  or hybrid locus of Information technology decision-making authority.
23624	Average return on assets values of all firms operating in the firm’s primary industry.
23625	Average return on assets values of a firm in the three years prior to the measurement of information technology synergies.
23626	Logarithm of the firm’s number of employees.
23676	Consumer-rated importance of information transparency features.
23677	Importance of privacy policy.
23678	Consumer concern for information privacy.
23679	Whether the participant believed his or her privacy had been previously invaded.
23680	Whether the participant uses a computer at home.
23681	Whether the participant uses a computer at work.
23682	Whether the participant sends and receives e-mail.
23683	Whether the participant visits websites.
23685	Highest level of school completed.
23686	Total 1997 household income.
23687	How many people live in the household.
23688	How many children ages 8 to 12 live in the household.
23689	Consumer willingness to be profiled for personalized service.
23690	Consumer willingness to be profiled for personalized advertising.
23728	Experience with the target system (usage right after training  after one month of use  or after three months of use).
23729	The extent to which a person believes that using a technology will enhance her/his productivity.
23730	The extent to which a person believes that using a technology will be free of effort.
23731	Participant's intention to use the technology.
23732	One’s belief about her/his  ability to perform a specific task/job using a computer.
23733	Perceptions of external control.
23734	An individual’s apprehension  or even fear  when she/he is faced with the possibility of using computers.
23735	The degree of cognitive spontaneity in microcomputer interactions.
23736	The extent to which the activity of using  a specific system is perceived to be enjoyable in it’s  own right  aside from any performance consequences  resulting from system use.
23737	The ratio of time spent by the subject to the time spent by an expert on the same set of tasks.
23739	The transfer of information from the Web vendor to the consumer through browsing the vendor's website.
23740	Participant's intentions to get information from the vendor's website.
23741	Participant's overall evaluation of getting information from the vendor's website.
23742	Participant's perception of the expectations of important others about getting information from the vendor's website.
23743	Control beliefs and their perceived power of getting information from the vendor's website.
23744	Consumers' judgments of their own capabilities to get product information online.
23745	Consumers' perceptions of whether getting information online is completely up to them because of the availability of resources and opportunities.
23746	Consumer's belief that the Web vendor will provide valid  accurate  and timely information.
23747	The extent to which a consumer believes that a specific vendor would enhance her  effectiveness in purchasing products.
23748	The extent to which a consumer believes that getting product information  from a website would be free of effort.
23749	Having the time needed to browse for product information is a prerequisite for getting information.
23750	The amount of time it takes for a website to display a requested page from a Web server.
23751	The natural sequencing of web pages  well-organized layout  and consistency of navigation protocols.
23752	A consumer's knowledgeability in getting product information from a vendor's website and making product evaluations.
23753	The frequency of getting information online.
23754	How long the participant had been using the Internet for getting information about products and how much time the participant spent on the Internet getting product information.
23755	Whether the participant had purchased the product from the Web vendor during the last 30 days.
23756	Participant's intentions purchase a product from the vendor's website.
23757	Participant's attitudes toward purchasing a product from the vendor's website.
23758	Participant's perception of the expectations of important others about purchasing a product from the vendor's website.
23759	Control beliefs and their perceived power of purchasing a product from the vendor's website.
23760	Consumers' judgments of their own capabilities to purchase products online.
23761	Consumers' perceptions of whether purchasing products online is completely up to them because of the availability of resources and opportunities.
23762	Consumer's trust in the web vendor when purchasing a product from their website.
23763	The extent to which a  consumer believes that a specific vendor would enhance her  effectiveness in purchasing products.
23764	The extent to which a consumer believes that  purchasing products from a Web vendor would be free of effort.
23765	A product that offers an attractive combination of quality and price.
23766	Having the required monetary resources.
23767	The extent to which a consumer believes that a website is helpful in terms of fully evaluating a product.
23768	The consumers’ belief about the Web vendor’s ability to fulfill security requirements.
23769	To the  consumer's knowledgeability about purchasing products online and  making sound purchasing decisions.
23771	How many times the participant had made product purchases from the internet and the web vendor and how much they have spent on internet purchases.
23772	The reputation of the web vendor.
23773	Prior experience with Windows 95    prior experience with Windows 3.1  prior use of DOS  and prior use of personal computers.
23774	Individual behavior toward new information technology.
23775	Willingness of an individual to try out any new information technology.
23776	Self-efficacy using Lotus 123.
23777	Self-efficacy using Windows 95.
23778	Perceived ease of use of Windows 95.
23779	Perceived ease of use of Lotus 123.
23780	An individual's perception of efficacy in performing specific computer-related tasks within the domain of general computing.
23781	A person's estimate that a given behavior will lead to certain outcomes.
23782	Subjects’ previous experience with different software and Excel skills knowledge.
23783	The subject's score on an Excel skill task.
23785	Decision process employed for each session was characterized as either multiple step or single step.
23786	A product or response that is both novel and appropriate  useful  correct or valuable to the task at hand.
23788	Users' perceptions concerning the quality of fun to use of the software version they used.
23789	The degree to which users find the form and content cues at the individual webpages visually dense and dissimilar.
23790	Users' perceptions of the range of and the degree of connectedness among the information clusters at a website.
23791	Users' perceptions of ambiguity of hyperlinks and uncertainty of the relationship between the hyperlink and the ensuing webpages.
23792	Percentage of white space  graphics count  graphics size  word count  color count  average number of different presentation forms used on a webpage  average internal  external and same page links on the webpage  number of webpages configuring a website  average number of pages from a home page to a page with no more forward links or only links external to the website  coefficient of variation in the number of different presentation  forms (e.g.  text  graphics  video  audio  animation) used across webpages  average pop-up advertisements per webpage  average webpage download time  and number of support tools (e.g.  site map  search option  help links).
23793	The user’s knowledge of the product and frequency of product use.
23794	The user’s knowledge of the website and frequency of visits to it.
23796	Overall satisfaction with the website.
23798	User's initial liking of the products served by the website.
23804	Total number of incidents; theft  replacement  recovery  and legal costs; and opportunity losses or revenues lost due to the unavailability of system resources; subjective seriousness index.
23805	Number of full-time security staff  part-time staff  total security staff hours per week  data security hours per week  salaries of security staff  and success of the security effort  derived from the elapsed months between the inception of security efforts and the occurrence of the abuse
23806	The severity of the disciplinary actions taken against computer abusers and number of informational sources about penalties and acceptable system use
23807	Number of operating system (OS) and database (DBMS) security programs in use and number of specialized security programs in use
23815	Age at time of adoption of software spreadsheet.
23816	Years of education and highest degree.
23817	Count of media sources used in last six months.
23818	Count of affiliations with professional associations and attendance at association meetings over past five years.
23819	How often participant talks to other people about computer-related matters.
23820	Percent of people in network regularly contacted for advice.
23821	Count of interpersonal contacts outside individual's own department.
23822	Percent of network regularly coming to respondent for business-related advice at least once per month.
23823	Percent of network regularly sought out by respondent for business-related advice at least once per month.
23824	Whether the participant was clerical/secretarial  professional/technical  or supervisory/managerial.
23825	Newspapers  TV advertisements  magazines  vendor literature  company publications  or company newsletters.
23826	Consultants  vendor personnel  computer specialists  colleagues  teachers or friends.
23827	Newspapers  TV advertisements  magazines  vendor literature  consultants  vendor personnel  computer specialists at work  teachers outside work  or friends outside work.
23828	Company publications  company newsletters  or colleagues at work.
23829	First year which spreadsheet was used two weeks or more for work-related purposes.
23830	Number of years elapsed since adopting spreadsheet software.
23831	Date of adoption relative to others in sample.
23832	Hearing about spreadsheets for the first time.
23833	Forming an impression about spreadsheet software.
23834	Deciding to use spreadsheet software.
23835	How an individual will behave when interacting with a particular kind of information technology.
23836	The likelihood of an individual choosing to interact with any information technology or not.
23837	The user's subjective probability that using a specific application system will increase his or her job performance within an organizational context.
23838	The degree to which the user expects the target system to be free of effort.
23839	The user's evaluation of the desirability of his or her using the system.
23840	Individual's intention to use the system.
23841	Individual's use of the system.
23842	The individual's perception of a referent other's opinion about the individual's performance of the behavior.
23843	The perceived opinions of referent others.
23844	To the freedom an individual feels you have to make a choice.
23845	The subjective probability that the behavior will lead to a particular outcome.
23846	A rating of the desirability of the outcome.
23847	The extent to which the person wants to comply with the wishes of the referent other.
23848	A perception of the availability of skills  resources  and opportunities.
23849	The individual's assessment of the importance of those resources to the achievement of outcomes.
23850	The degree to which use of the personal work station is compatible with  or requires change  in one's job.
23851	The degree to which an innovation is perceived as being difficult  to use.
23852	The degree to which it is possible to try using the personal work station.
23853	The degree to which the results of an innovation are observable to  others.
23854	The degree to which an individual believes that using a particular system would enhance his or her job performance.
23855	The degree to which an individual believes that using a particular system would be free of physical and mental effort.
23856	The degree to which using the innovation is perceived as being better than using its precursor.
23858	The degree to which the use of the personal work station enhances one's image or status within the organization.
23859	The visibility of personal work station outside the organization.
23860	The degree to which the use of the personal work station is perceived as being voluntary.
23861	The degree to which the use of the personal work station is a benefit in one's job.
23862	The degree to which the benefits of using the personal work station are measurable.
23863	How many tasks are quantitatively evaluated by an employer  either manually or using a computer monitor  and whether employee had a production quota.
23864	How frequently the employer collects quantitative data about employee performance.
23865	How broad the audience is for quantitative data about employee performance.
23866	How specific is the object of quantitative performance measurement.
23867	Perceived accuracy of computers.
23868	Perception that computer is appropriate device for evaluating the particular employee’s job.
23869	Perception that the employee’s job is primarily quantitative or routine.
23870	Perception of the degree to which the employer relies on qualitative  or subjective  measures of employee performance.
23871	Degree to which the employee considers the qualitative measures used to be acceptable (fair  accurate and appropriate).
23872	Perception of the degree to which the employer relies on quantitative measures of employee performance.
23873	Degree to which the employee considers the quantitative measures used to be acceptable (fair  accurate and appropriate).
23874	Perception that employer considers production an important component of overall performance.
23875	Perception that employer considers service an important component of overall performance.
23876	Degree to which employee believes that production is an important component of overall performance.
23877	Degree to which employee believes that service is an important component of overall performance.
23878	The group's decision ranking among possible solutions (if the group reached consensus) or the average of the ranking of each solution reached by the individual group members (if the group did not reach consensus).
23879	Number of alternatives on the ballot for the first vote.
23880	The presence or absence of complete (100%) agreement.
23881	The amount of time it took the group to reach complete consensus or the total time allotted (30 minutes) if time ran out before complete consensus was reached.
23883	The number of remarks the participant generated during the discussion part of the experimental process.
23884	The total number of group remarks which included swear words  name-calling or insults.
23885	Whether there was assigned leader (who was told   Your responsibilities include helping the group generate possible solutions to the case problem  focusing the discussion  and promoting consensus ).
23886	Whether the group decision support system (GDSS) was anonymous.
23887	Participants were part of a group that used a group decision support system (GDSS).
23888	Participants were part of a group that did not use a group decision support system (GDSS).
23890	Spillover of role interference from the work to the family domain.
23891	Spillover of role interference from the family to the work domain.
23892	How many hours on average the participant spends performing work-related tasks at home on a computer and why they use a computer for job-related work at home.
23893	Time spent on average working at the office.
23894	Time spent on average working at home.
23895	Time spent on average performing home chores such as cooking  cleaning  repairs  shopping  and yardwork.
23896	Time spent on average engaged in activities with their children such as feeding  dressing  washing  going places  helping with homework  talking  reading  disciplining.
23897	Time spent on average reading  hobbies  TV  going to a movie  entertaining friends  and sports.
23899	Investment made to gain a competitive advantage and increase  market share  via sales growth.
23900	The information infrastructure to manage the firm  and meet other management objectives besides cutting costs or gaining sales.
23901	The transactions of the firm and IT investment of this type is usually to cut costs by substituting capital for labor.
23904	Number of nonproduction employees per million dollars sales.
23905	The percent change in the number of nonproduction employees per million dollars sales.
23907	Chief executive officer (CEO) use of the user interface system.
23908	Controller use of the user interface system.
